date,open,high,low,close,vol(btc)
05/01/17 10:00 PM,1411.89,1414.99,1389,1390.86,895.78
05/01/17 08:00 PM,1409.98,1417.11,1407,1411.86,742.25
05/01/17 06:00 PM,1384.98,1410,1382.71,1407.9,663.96
05/01/17 04:00 PM,1389.94,1425,1385,1385,1891.83
05/01/17 02:00 PM,1370.01,1391.31,1364.08,1387.84,1659.58
05/01/17 12:00 PM,1361.99,1370.01,1346.37,1370.01,516.11
05/01/17 10:00 AM,1353.18,1362,1345,1361.97,405.31
05/01/17 08:00 AM,1361.96,1362,1346.33,1351.01,425.27
05/01/17 06:00 AM,1363.62,1367.01,1355.83,1360,172.73
05/01/17 04:00 AM,1361.13,1368,1357.03,1363.62,442.98
05/01/17 02:00 AM,1348.51,1364,1341.22,1361.13,348.17
05/01/17 12:00 AM,1348.88,1357.98,1341.33,1348.51,440.43
04/30/17 10:00 PM,1351,1356,1347.05,1350.21,370.43
04/30/17 08:00 PM,1335.81,1354,1330,1350,933.72
04/30/17 06:00 PM,1329.95,1335.97,1325.35,1334.83,287.02
04/30/17 04:00 PM,1323,1330.49,1321.4,1329.96,535.86
04/30/17 02:00 PM,1327.36,1332.29,1322.71,1322.71,99.59
04/30/17 12:00 PM,1329.99,1330.4,1324.24,1326.85,126.59
04/30/17 10:00 AM,1319.76,1330.4,1318,1329.99,440.83
04/30/17 08:00 AM,1326.01,1328.94,1315.68,1319.76,303.97
04/30/17 06:00 AM,1324.55,1332.36,1323.32,1326.01,137.9
04/30/17 04:00 AM,1324.5,1328,1321.01,1328,110.55
04/30/17 02:00 AM,1331.14,1331.36,1324,1324.5,77.08
04/30/17 12:00 AM,1336.77,1336.77,1329,1329.27,112.63
04/29/17 10:00 PM,1340,1341.5,1332,1333,314.36
04/29/17 08:00 PM,1336.03,1342,1331.54,1341.18,288.22
04/29/17 06:00 PM,1337.01,1342.8,1333.53,1336.03,535.68
04/29/17 04:00 PM,1330.06,1338.43,1327.31,1337.01,382.74
04/29/17 02:00 PM,1327.26,1332.31,1321.03,1330.12,421.68
04/29/17 12:00 PM,1319,1327.26,1317.07,1327.26,362.86
04/29/17 10:00 AM,1325.38,1326.52,1317.09,1319,216.36
04/29/17 08:00 AM,1324.7,1328.32,1316,1325.38,160.84
04/29/17 06:00 AM,1328.18,1332.46,1320,1327.25,581.09
04/29/17 04:00 AM,1328.87,1334.76,1325.72,1326.91,236.29
04/29/17 02:00 AM,1334.65,1335.8,1323.15,1328.29,208.15
04/29/17 12:00 AM,1333.93,1340,1328.57,1329.55,219.17
04/28/17 10:00 PM,1315,1338.13,1313,1330.7,668.27
04/28/17 08:00 PM,1314.09,1316.6,1302.8,1316.3,502.55
04/28/17 06:00 PM,1318.8,1318.8,1299,1314.05,839.45
04/28/17 04:00 PM,1328.65,1328.99,1299.34,1318.95,1078.61
04/28/17 02:00 PM,1318.04,1329,1310.94,1328.65,820.94
04/28/17 12:00 PM,1311.1,1331.44,1311.03,1318.03,790.11
04/28/17 10:00 AM,1331,1335,1300,1309.01,1137.85
04/28/17 08:00 AM,1333,1334.65,1326.16,1331,318.15
04/28/17 06:00 AM,1335.11,1337,1319.88,1333,464.05
04/28/17 04:00 AM,1335.67,1347.02,1330.18,1335.99,422.22
04/28/17 02:00 AM,1323.96,1347.02,1321.27,1333.45,784.49
04/28/17 12:00 AM,1331,1333,1319.88,1325.02,407.57
04/27/17 10:00 PM,1334.52,1337,1325.33,1331.53,422.92
04/27/17 08:00 PM,1326.5,1342.02,1326.5,1335.53,1021.78
04/27/17 06:00 PM,1326.16,1327.98,1322,1327.28,260.02
04/27/17 04:00 PM,1330.99,1332.87,1325.85,1327.98,1084.26
04/27/17 02:00 PM,1320.36,1338,1320.36,1330.98,1262.16
